text,intent
I am still waiting on my card?,banking
What can I do if my card still hasn't arrived after 2 weeks?,banking
I have been waiting over a week. Is the card still coming?,banking
Can I track my card while it is in the process of delivery?,banking
"How do I know if I will get my card, or if it is lost?",banking
When did you send me my new card?,banking
Do you have info about the card on delivery?,banking
What do I do if I still have not received my new card?,banking
Does the package with my card have tracking?,banking
I ordered my card but it still isn't here,banking
Why has my new card still not come?,banking
"I still haven't received my card after two weeks, is it lost?",banking
Can you track my card for me?,banking
Is there a way to track the delivery of my card?,banking
It's been a week since I ordered my card and it's not here. Please help?,banking
Will I be able to track the card that was sent to me?,banking
I don't have my card in 1 week.  Should I be worried?,banking
How do I know when my new card is going to arrive?,banking
My new card has not been delivered to my home yet. What is going on?,banking
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,banking
"On the card that is coming, what's the tracking info?",banking
What is the status of my card's delivery?,banking
Have you sent out my card yet?,banking
My card isn't here yet.,banking
where is my new card?,banking
It's been a week since you sent my card and I still don't have it.,banking
How do I track the card you sent me?,banking
When will I recieve my new card?,banking
When will I get my new card?,banking
What is the expected delivery date for my card?,banking
Is there a tracking number for the card you sent me?,banking
I would like to track the card you sent to me.,banking
Has my card been lost in delivery?,banking
My new card hasn't came in.,banking
Where is the card I ordered 2 weeks ago?,banking
Can I get an update on my replacement card?,banking
How long does it take for a new card to ship?,banking
What's the tracking on the card you sent?,banking
I haven't received my card and am worried it is lost.,banking
I still haven't received my card after 2 weeks. What should I do?,banking
How do I know if my card is lost in the mail?,banking
I ordered a card and it still hasn't arrived. What's the deal?,banking
Hello, greeting
Hi there, greeting
Good morning, greeting
Good afternoon, greeting
Good evening, greeting
Hey, greeting
Greetings, greeting
How's it going?, greeting
What's up?, greeting
Hey there, greeting
How are you doing?, greeting
How's your day going?, greeting
Good to see you!, greeting
What's up today?, greeting
Good day!, greeting
How have you been lately?, greeting
How’s life treating you?, greeting
Who are you?, greeting
What do you do?,greeting
Can you tell me about yourself?, greeting
Are you a real person?, greeting
How can you help me?, greeting
Why are you here?, greeting
What’s the purpose of this bot?, greeting
Who created you?, greeting
Can I talk to a real person?, greeting
What’s the digital landing system in Cambodia?, greeting
Are you here to answer questions?, greeting
Can you help me with digital services?, greeting
What’s your role?, greeting
How do you work?, greeting
Can I ask anything?, greeting
Are you a chatbot?, greeting
What are you trained to do?, greeting
Is this bot powered by AI?, greeting
What can I ask you?, greeting
How long will you be available?, greeting
Can you help with my digital landing questions?, greeting
What should I do if I need help?, greeting
What kind of help do you offer?, greeting
Is this system related to technology?, greeting
How do I use the digital landing system?, greeting
Where can I get more information?, greeting
Is there a website for the digital landing system?, greeting
How do I get started?, greeting
Can you explain the digital landing system to me?, greeting
What are the main features of the digital landing system?, greeting
Do you have information on the digital services offered?, greeting
Is the digital landing system for everyone?, greeting
What should I do if I need more help?, greeting
What is the digital landing system for?, greeting
How do I know if I need the digital landing system?, greeting
What if I have technical issues with the system?, greeting
Can you assist with signing up for digital services?, greeting
How do I get support for the digital landing system?, greeting
What services are available in Cambodia’s digital landing system?, greeting
How do I get started with digital services?, greeting
Can you help me register for digital services?, greeting
What is the first step to using the digital landing system?, greeting
Is there a user guide for the digital landing system?, greeting
What kind of assistance do you offer?, greeting
Can I get a demo of the digital landing system?, greeting
How can I contact a human if needed?, greeting
What is your name?, greeting
How do I reach you if I need further assistance?, greeting
Can you help me with anything related to digital services?, greeting
Are you available all the time?, greeting
What is the digital landing system used for?, greeting
Do you have information on government digital services?, greeting
How can I access the digital landing system in Cambodia?, greeting
What services are included in the digital landing system?, greeting
How does the digital landing system help users?, greeting
Can I ask you any questions at any time?, greeting
What happens if I don’t find an answer from you?, greeting
How do I know if I'm using the digital landing system correctly?, greeting
Can I ask for help with online registration services?, greeting
How can I navigate the digital landing system more efficiently?, greeting
What year did the global recession that followed the financial crisis of 2007 end?,out-of-domain
what was a popular club in ibiza that started playing dance and house music?,out-of-domain
In what century did Martin Luther honor Mary as the Mother of God?,out-of-domain
What is the climate like?,out-of-domain
How many times has the Queen toured Canada?,out-of-domain
Has Bermuda's constitution ever been amended?,out-of-domain
What train line connects florida to the south? ,out-of-domain
What is the name of a show from Northern Ireland broadcast all over the United Kingdom?,out-of-domain
 Why was every Nachlass left behind after Whitehead's death?,out-of-domain
What concerns are raised when thinking about animals digging in the soil for food?,out-of-domain
What is the climate description for the southern half of Namibia?,out-of-domain
The Wii version makes use of what kind of sensors?,out-of-domain
How much many did the Premier League make from selling its internation rights during 2004-07?,out-of-domain
What are started to be a source of international law in the preamble in The Law of Treaties?,out-of-domain
Where is tourism in Montevideo centered in?,out-of-domain
What are produced in cell division?,out-of-domain
What year wasn't Canada united in a confederation?,out-of-domain
What is the Chinese Faust books an example of?,out-of-domain
South Africa's Medicines Act allowed for the generic production of what kind of drugs?,out-of-domain
What was PlayStation 3's toughest competitor in the video game market?,out-of-domain
About how many birds are released onto shooting estates every year?,out-of-domain
What term characterizes the intersection of the rites with the Roman Catholic Church?,out-of-domain
Why is Yiddish not a dialect of German?,out-of-domain
According to the institution what leads to inaccurate analysis of the city?  ,out-of-domain
In what month in 1944 did the King meet Sir Alan Brooke?,out-of-domain
What type of sources give information regarding total number of enablements?,out-of-domain
How are NPOs classified in Canada?,out-of-domain
What is a chemical that can cause green hue in birds?,out-of-domain
Which cells serve as antigen to lymphocytes?,out-of-domain
How long was U Wisara on a strike were he refused subsistence ?,out-of-domain
What are the individual litter canines called?,out-of-domain
"If you are going to farm in Cork, what should you be aware of?",out-of-domain
When did Brazil pass a new Constitution?,out-of-domain
How many binary borane hydrides are known?,out-of-domain
Who still practices persistence hunting?,out-of-domain
How long did two systems run on a trial basis for?,out-of-domain
What year saw the founding of Kathmandu's fire department?,out-of-domain
How long is the term for council members?,out-of-domain
What is Galicia is poetically known as?,out-of-domain
What has happened to DRAM's since they were created?,out-of-domain
What land does Ocarina serve to protect?,out-of-domain
Where in France were plundered artifacts brought in an effort to create a great central museum?,out-of-domain
When did automakers start using electroluminescent technology to backlight gauges?,out-of-domain
Was Evatt for or against nationalizing the banking system in Australia?,out-of-domain
What countries have an even higher rate of income disparity than Namibia?,out-of-domain
What document contradicts the Cyber Security Strategy?,out-of-domain
What do friendlies allow managers to experiment with?,out-of-domain
What is the name of the coach terminus in Melbourne?,out-of-domain
How many homes does PGW serve?,out-of-domain
When was Yale Law School closed?,out-of-domain
