text,intent
Hello,greeting
Hi there,greeting
Good morning,greeting
Good afternoon,greeting
Good evening,greeting
Hey,greeting
Greetings,greeting
How's it going,greeting
What's up,greeting
Hi how are you,greeting
Hello how are you,greeting
Hey there,greeting
How are you doing,greeting
Hi nice to meet you,greeting
How's your day going,greeting
Hey what's new,greeting
Hello hope you're doing well,greeting
Hi hope your day is going well,greeting
Good to see you,greeting
Hi glad to see you,greeting
Hey how have you been,greeting
Hello how’s everything,greeting
Hi hope you're having a great day,greeting
Greetings how’s it going,greeting
Hey hope you're doing well,greeting
Hi how's everything going,greeting
Hello what's happening,greeting
Good morning how are you today,greeting
Hi how’s life,greeting
Hey how's your day been,greeting
What's up today,greeting
Hello nice to see you,greeting
Hi how's everything on your side,greeting
Hey how’s your week going,greeting
Good day,greeting
Hi any exciting plans for today,greeting
Hello it’s good to talk to you,greeting
How have you been lately,greeting
Hi how’s your morning,greeting
Hey good to see you around,greeting
Hello what’s happening today,greeting
Hi everything good with you,greeting
Hey long time no see,greeting
How’s life treating you,greeting
Hey what’s going on,greeting
Hello how’s everything today,greeting
Hi what’s new with you,greeting
Hey how’s everything been going,greeting
Good morning feeling good today,greeting
Hi what are you up to today,greeting
Hello are you having a good day,greeting
Hey how’s your day shaping up,greeting
Good afternoon how are you feeling,greeting
Hi how’s your day been so far,greeting
Hello how’s your day looking,greeting
Hey how’s your day treating you,greeting
Good evening how are you doing,greeting
Who are you,greeting
What do you do,greeting
Can you tell me about yourself,greeting
Are you a real person,greeting
How can you help me,greeting
Why are you here,greeting
What’s the purpose of this bot,greeting
Who created you,greeting
Can I talk to a real person,greeting
What’s the digital lending system in Cambodia,greeting
Are you here to answer questions,greeting
Can you help me with digital services,greeting
What’s your role,greeting
How do you work,greeting
Can I ask anything,greeting
Are you a chatbot,greeting
What are you trained to do,greeting
Is this bot powered by AI,greeting
What can I ask you,greeting
How long will you be available,greeting
Can you help with my digital lending questions,greeting
What should I do if I need help,greeting
What kind of help do you offer,greeting
Is this system related to technology,greeting
How do I use the digital lending system,greeting
Where can I get more information,greeting
Is there a website for the digital lending system,greeting
How do I get started,greeting
Can you explain the digital lending system to me,greeting
What are the main features of the digital lending system,greeting
Do you have information on the digital services offered,greeting
Is the digital lending system for everyone,greeting
What should I do if I need more help,greeting
What is the digital lending system for,greeting
How do I know if I need the digital lending system,greeting
What if I have technical issues with the system,greeting
Can you assist with signing up for digital services,greeting
How do I get support for the digital lending system,greeting
What services are available in Cambodia’s digital lending system,greeting
How do I get started with digital services,greeting
Can you help me register for digital services,greeting
What is the first step to using the digital lending system,greeting
Is there a user guide for the digital lending system,greeting
What kind of assistance do you offer,greeting
Can I get a demo of the digital lending system,greeting
How can I contact a human if needed,greeting
What is your name,greeting
How do I reach you if I need further assistance,greeting
Can you help me with anything related to digital services,greeting
Are you available all the time,greeting
What is the digital lending system used for,greeting
Do you have information on government digital services,greeting
How can I access the digital lending system in Cambodia,greeting
What services are included in the digital lending system,greeting
How does the digital lending system help users,greeting
Can I ask you any questions at any time,greeting
What happens if I don’t find an answer from you,greeting
How do I know if I'm using the digital lending system correctly,greeting
Can I ask for help with online registration services,greeting
How can I navigate the digital lending system more efficiently,greeting
Do you offer customer support,greeting
Can you provide step-by-step guidance,greeting
Is there a helpline available,greeting
Where can I report an issue,greeting
What languages do you support,greeting
Can you assist with troubleshooting,greeting
How secure is the digital lending system,greeting
Can I access digital services from my phone,greeting
How do I reset my password,greeting
Are there any fees for using digital services,greeting
How do I verify my identity,greeting
What happens if I forget my login details,greeting
Is technical support available 24/7,greeting
Can you help me with payment issues,greeting
Where do I find terms and conditions,greeting
Can I update my personal details online,greeting
How do I unsubscribe from services,greeting
Can I use digital services outside Cambodia,greeting
What is the response time for queries,greeting
Are government services available digitally,greeting
How do I recover a lost account,greeting
Where do I find user reviews,greeting
What if I encounter errors while using the system,greeting
Is my personal information safe,greeting
Can I request a refund,greeting
What if my transaction fails,greeting
Where can I submit feedback,greeting
How do I delete my account,greeting
Can I set up multiple accounts,greeting
Are there any restrictions on usage,greeting
Can businesses use the digital lending system,greeting
How do I apply for a digital service,greeting
Is training available for new users,greeting
Who are you,greeting
What do you do,greeting
Can you tell me about yourself,greeting
Are you a real person,greeting
How can you help me,greeting
Why are you here,greeting
What’s the purpose of this bot,greeting
Who created you,greeting
Can I talk to a real person,greeting
What’s the digital lending system in Cambodia,greeting
Are you here to answer questions,greeting
Can you help me with digital services,greeting
What’s your role,greeting
How do you work,greeting
Can I ask anything,greeting
Are you a chatbot,greeting
What are you trained to do,greeting
Is this bot powered by AI,greeting
What can I ask you,greeting
How long will you be available,greeting
Can you help with my digital lending questions,greeting
What should I do if I need help,greeting
What kind of help do you offer,greeting
Is this system related to technology,greeting
How do I use the digital lending system,greeting
Where can I get more information,greeting
Is there a website for the digital lending system,greeting
How do I get started,greeting
Can you explain the digital lending system to me,greeting
What are the main features of the digital lending system,greeting
Do you have information on the digital services offered,greeting
Is the digital lending system for everyone,greeting
What should I do if I need more help,greeting
What is the digital lending system for,greeting
How do I know if I need the digital lending system,greeting
What if I have technical issues with the system,greeting
Can you assist with signing up for digital services,greeting
How do I get support for the digital lending system,greeting
What services are available in Cambodia’s digital lending system,greeting
How do I get started with digital services,greeting
Can you help me register for digital services,greeting
What is the first step to using the digital lending system,greeting
Is there a user guide for the digital lending system,greeting
What kind of assistance do you offer,greeting
Can I get a demo of the digital lending system,greeting
How can I contact a human if needed,greeting
Hello,greeting
Hi there,greeting
Good morning,greeting
Good afternoon,greeting
Good evening,greeting
Hey,greeting
Greetings,greeting
How's it going,greeting
What's up,greeting
Hi how are you,greeting
Hello how are you,greeting
Hey there,greeting
How are you doing,greeting
Hi nice to meet you,greeting
How's your day going,greeting
Hey what's new,greeting
Hello hope you're doing well,greeting
Hi hope your day is going well,greeting
Good to see you,greeting
Hi glad to see you,greeting
Hey how have you been,greeting
Hello how’s everything,greeting
Hi hope you're having a great day,greeting
Greetings how’s it going,greeting
Hey hope you're doing well,greeting
Hi how's everything going,greeting
Hello what's happening,greeting
Good morning how are you today,greeting
Hi how’s life,greeting
Hey how's your day been,greeting
What's up today,greeting
Hello nice to see you,greeting
Hi how's everything on your side,greeting
Hey how’s your week going,greeting
Good day,greeting
Hi any exciting plans for today,greeting
Hello it’s good to talk to you,greeting
How have you been lately,greeting
Hi how’s your morning,greeting
